media	mediana	desviacion	min	max
0.3198	0.272742	0.395513	0	0.72583	
0.415467	0.418606	0.38437	0.112544	0.762069	
0.654225	0.645825	0.427256	0.353458	0.944253	
0.653204	0.633987	0.453215	0.330012	0.987715	
0.522136	0.489394	0.366088	0.169988	0.887085	
0.649516	0.611345	0.454609	0.309496	0.987221	
0.678317	0.643879	0.472254	0.362837	0.989875	
0.601061	0.584929	0.390129	0.361079	0.909372	
0.601061	0.584929	0.390129	0.361079	0.909372	
0.0784196	0.00452848	0.397032	0	1	
0.612314	0.591841	0.367092	0.590856	0.887888	
0.537362	0.510566	0.385694	0.227433	0.83035	
0.520195	0.49138	0.430514	0.147714	0.789851	
0.451888	0.428061	0.416228	0.0762016	0.696753	
0.589666	0.566775	0.509546	0.12837	0.911039	
0.631514	0.620084	0.527146	0.120164	0.98827	
0.620488	0.613013	0.472637	0.257913	0.981541	
0.634053	0.624176	0.526948	0.0967175	0.995987	
0.645711	0.630174	0.541931	0.144783	0.976293	
0.577881	0.562684	0.505526	0.240328	0.905235	
0.571339	0.56173	0.410605	0.413834	0.899741	
0.532185	0.516644	0.360777	0.321219	0.834362	
0.573061	0.557083	0.352251	0.363423	0.875293	
0.265454	0.192659	0.474428	0	0.688233	
0.367707	0.252125	0.652459	0	0.838375	
0.448623	0.221181	0.874713	0	0.999383	
0.455863	0.28013	0.803839	0.014068	0.96765	
0.322385	0.0702312	0.702321	0	0.994506	
0.299912	0.201398	0.536432	0	0.990307	
0.258557	0.120958	0.543867	0	0.973145	
0.326066	0.0879876	0.706069	0	0.987776	
0.433261	0.269564	0.770483	0.000586166	0.966292	
0.364615	0.18821	0.731114	0	0.899123	
0.358881	0.27298	0.643495	0	0.799852	
0.280673	0.218638	0.490885	0	0.704593	
0.0643788	0.0244697	0.240782	0	0.993086	
0.172986	0.0213713	0.481719	0	0.869737	
0.131287	0.0206562	0.467025	0	0.903692	
0.152734	0.020974	0.477477	0	0.896037	
0.0843142	0.0538651	0.236379	0.0679953	0.999753	
0.221573	0.046556	0.623316	0	1	
0.129378	0.0365456	0.47937	0	0.957526	
0.17233	0.0425836	0.541178	0	0.993333	
0.238502	0.101454	0.51529	0	0.783801	
0.243397	0.0633987	0.561544	0	0.792382	
0.24703	0.0263764	0.642739	0	0.889863	
0.319016	0.0651863	0.735518	0	0.978516	
0.161497	0.0187098	0.485211	0	0.991727	
0.0862573	0.0204973	0.311313	0	0.985122	
0.0681384	0.0230396	0.298231	0	0.980059	
0.0768754	0.040518	0.233317	0	0.905729	
0.152072	0.0394852	0.441556	0	1	
0.347164	0.0543815	0.788014	0	0.998642	
0.307669	0.0536665	0.75055	0	0.999568	
0.309932	0.0771431	0.681804	0	0.963946	
0.263294	0.119409	0.532922	0	0.818681	
0.387903	0.355525	0.398189	0.0832356	0.717867	
0.470747	0.430603	0.575599	0.117233	0.830535	
0.473829	0.389569	0.72184	0.0128957	0.891221	
0.532312	0.462541	0.660634	0.021102	0.989567	
0.466859	0.396997	0.660622	0.010551	0.95839	
0.520013	0.528958	0.566361	0.0644783	0.997469	
0.500037	0.434218	0.68148	0.031653	0.97654	
0.57381	0.50854	0.680466	0.0715123	0.951414	
0.427782	0.361563	0.629564	0.024619	0.745895	
0.458713	0.428021	0.557801	0.10551	0.805285	
0.364112	0.321165	0.386319	0.0269637	0.705149	
0.429971	0.420275	0.325712	0.281946	0.72262	
0.635372	0.615715	0.388769	0.616647	0.930856	
0.508044	0.497458	0.348781	0.327081	0.769478	
0.633424	0.613172	0.431407	0.498242	0.936103	
0.681629	0.653571	0.461268	0.529895	0.966601	
0.603797	0.58048	0.370476	0.566237	0.848747	
0.603797	0.58048	0.370476	0.566237	0.848747	
